id	category	utterance	plan
createEventBeforeTimeIntervalOnDate	p1	Schedule a meeting before 11 am to 2 pm on tomorrow.	createEvent(createAt(before(timeInterval(11.am, 2.pm)) on tomorrow))
createEventAfterTimeIntervalOnDate	p1	Schedule a meeting after tomorrow morning	createEvent(createAt(after(morning) on tomorrow))
createWithFractionalDuration1	p1	Set up a 3/4 hour meeting.	createEvent(lastsFor((3/4).hours))
createWithAttendee4	p1	Make an event with Bryan, Abby, Jennifer, Jesse, and Kim	"createEvent((((with_(""Bryan"") and with_(""Abby"")) and with_(""Jennifer"")) and with_(""Jesse"")) and with_(""Kim""))"
createWithAttendee5	p1	I need to make an event with the people from this meeting	createEvent(with_(theEvent(`this`[Event]).attendees))
createWithAttendee6	p1	I need to make an event with the people from that meeting	createEvent(with_(theEvent(that[Event]).attendees))
Query - change the subject	p1	what are my workout?	"findEvents(called(""workout""))"
Query - change the date - DOW	p1	what do I have tomorrow?	findEvents(queryAt(tomorrow))
Query - change the time	p1	what do I have at 3pm?	findEvents(queryAt(3.pm))
Query - change the interval	p1	what are my meetings this morning?	findEvents(queryAt(morning on `this`[Date]))
Query - set multiple - subject and date	p1	what meetings do I have?	findEvents0
Query - change multiple - attendee and DOW	p1	what are my meetings with David today?	"findEvents(with_(""David"") and queryAt(today))"
Query by date tomorrow - clobber today afternoon	p1	What are my meetings tomorrow?	findEvents(queryAt(tomorrow))
Query by date today - clobber tomorrow	p1	What are my meetings today?	findEvents(queryAt(today))
eventOnADate - change date	p1	What do I have on Saturday?	findEvents(queryAt(Saturday))
QueryOnDate - change attendee	p1	what are my meetings with David tomorrow?	"findEvents(with_(""David"") and queryAt(tomorrow))"
QueryNext - change attendee	p1	What's my next meeting with David?	"theEvent(next[Event] and with_(""David""))"
QueryNextEventStart - change subject	p1	When's the next Coffee chat meeting?	"theEvent(next[Event] and called(""Coffee chat"")).start"
QueryWeekEventBinary - change attendee	p1	Am I meeting with David this week?	"findEvents(with_(""David"") and queryAt(`this`[Interval[Date]] and isWeek)).nonEmpty"
findEmails-1	p1	Find my shiproom emails	"findEmails(messageTitleIs(""shiproom""))"
findEmails-3	p1	Find my shiproom emails from yesterday	"findEmails(messageTitleIs(""shiproom"") and messageSentAt(yesterday))"
findEmails-4	p1	Find emails from last week	findEmails(messageSentAt(last[Interval[Date]] and isWeek))
findEmails-5	p1	I need to see the emails from last week that have attachments	findEmails(messageSentAt(last[Interval[Date]] and isWeek) and messageHasAttachments(true))
findEmails-6	p1	I need to see the focused emails from this week	findEmails(messageInferenceClassificationIs(InferenceClassification.focused) and messageSentAt(thisWeek))
findEmails-7	p1	Can you find the emails from Lisa from last week	"findEmails(messageWithSender(""Lisa"") and messageSentAt(last[Interval[Date]] and isWeek))"
findEmail-7	p1	Can you find the email from Lisa from last week	"theEmail(messageWithSender(""Lisa"") and messageSentAt(last[Interval[Date]] and isWeek))"
findEmails-8	p1	Pull up the emails that are due tomorrow that are set to high importance on focused tab	findEmails(messageWithDueDate(tomorrow) and messageImportanceIs(Importance.High) and messageInferenceClassificationIs(InferenceClassification.focused))
findEmails-9	p1	Find my low priority emails from last week	findEmails(messageImportanceIs(Importance.Low) and messageSentAt(last[Interval[Date]] and isWeek))
findEmails-10	p1	Find the wedding planning emails from our organizer Lisa that talks about the venue change	"findEmails(messageTitleIs(""wedding planning"") and messageWithSender(""Lisa"") and messageBodyIs(""venue change""))"
findEmail-10	p1	Find the wedding planning email from our organizer Lisa	"theEmail(messageTitleIs(""wedding planning"") and messageWithSender(""Lisa""))"
findEmails-11	p1	I need to see the emails from last week that are of high importance	findEmails(messageSentAt(last[Interval[Date]] and isWeek) and messageImportanceIs(Importance.High))
findEmails-12	p1	Search for flagged emails.	findEmails(messageFlagStatusIs(FlagStatus.flagged))
findEmails-13	p1	I need to see the emails I sent out last week that are flagged	findEmails(messageSentAt(last[Interval[Date]] and isWeek) and messageFlagStatusIs(FlagStatus.flagged))
findEmails-14	p1	Find my emails from yesterday	findEmails(messageSentAt(yesterday))
findEmails-15	p1	Find emails about vacations	"findEmails(messageBodyIs(""vacations""))"
query emails from exactly x weeks ago	p1	Find emails that arrived exactly two weeks ago	findEmails(messageSentAt(today -2.weeks))
updateEventLateInWeek	p1	When is my next catch up with David?	"theEvent((next[Event] and called(""catch up"")) and with_(""David"")).start"
updateSalientRecurringEventTWoAttendees	p1	What do I have with Kelly ?	"findEvents(with_(""Kelly""))"
updateAttendeeToSalientEvent	p1	What do I have tomorrow?	findEvents(queryAt(tomorrow))
updateTimeIntervalInZone	p1	When is Coffee?	"theEvent(called(""coffee"")).start"
findChatMessages-1	p1	Find my chat messages about shiproom	"findChatMessages(messageTitleIs(""shiproom""))"
findChatMessages-2	p1	Find chat messages from Lisa	"findChatMessages(messageWithSender(""Lisa""))"
findChatMessages-3	p1	Find my chat messages about shiproom from yesterday	"findChatMessages(messageTitleIs(""shiproom"") and messageSentAt(yesterday))"
findChatMessages-4	p1	Find chat messages from last week	findChatMessages(messageSentAt(last[Interval[Date]] and isWeek))
chatOnTMSalientHistoryContactOneShot	p1	Who is Bryan?	"thePerson(""Bryan"")"
DayOfWeekExample		How many days in the next week do I have meetings?	List[DayOfWeek](Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday).filter(day => findEvents(queryAt(day /& (next[Interval[Date]] and isWeek))).nonEmpty).size
fromDateTimeToDateTimeExample		What do I have between 5pm today and 9am tomorrow?	findEvents(queryAt(fromDateTimeToDateTime(today, 5.pm, tomorrow, 9.am)))
intervalIntersection		Does the project meeting overlap with lunch?	"theEvent(called(""project"")).interval.intersects(theEvent(called(""lunch"")).interval)"
jobTitleIsExampleNamedExample		Who is the engineer named Peter?	"thePerson(jobTitleIs(""engineer"") and named(""Peter""))"
jobTitleIsExample2		"Who has the ""shift manager"" job title?"	"thePerson(jobTitleIs(""shift manager""))"
minExample		What is my shortest meeting tomorrow?	min(findEvents(queryAt(tomorrow)), ev => ev.duration)
maxExample		Which meeting ends last today?	max(findEvents(queryAt(today)), ev => ev.end)
minExample2		Which meeting tomorrow has the fewest attendees?	min(findEvents(queryAt(today)), ev => ev.attendees.all.size)
concatExample		"Make a meeting titled with my manager's name followed by the word ""report"""	"createEvent(called(me.manager.nameAndEmail.name.get + "" report""))"
modifyExample		"rename the title of this morning's meeting with ""Q&A"" prepended with ""[optional] """	"modifyEvent(theEvent(queryAt(morning on `this`[Date])), called(""[optional] "" + ""Q&A""))"
durationBetweenInstantsExample		How much time is between my first two meetings today?	durationBetweenInstants(theEvent(nth[Event](1) and queryAt(`this`[Date])).end, theEvent(nth[Event](2) and queryAt(`this`[Date])).start)
createdExample		When was the off-site meeting created?	"theEvent(called(""off-site"")).created"
getPersonFromAttendeeExample		Am I invited to the company fireside chat?	"theEvent(called(""company fireside chat"")).attendees.all.map(a => getPersonFromAttendee(a)).contains(me)"
toRecipientsExample		How many people was the shiproom message sent to?	"findChatMessage(messageTitleIs(""shiproom"")).toRecipients.size"
d15annotator2_0	decomp	Create a list of days of the week	List[DayOfWeek](Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday)
d15annotator2_1	decomp	Filter the list of days s1 to include only those days where there are at least 5 events	s1.filter(x => findEvents(queryAt(x /& (next[Interval[Date]] and isWeek))).size >= 5)
d15annotator2_2	decomp	For each day in the list s2 create an event with the called "vacation time"	s2.map(x => createEvent(called("vacation time") and createAt(x /& (next[Interval[Date]] and isWeek))))
d16annotator2_0	decomp	Find events at 3 pm mountain time	findEvents(queryAt(3.pm inZone TimeZone("MST")))
d16annotator2_1	decomp	Decline each meeting in the list s1	s1.map(x => respond(x, withResponse(ResponseStatusType.declined)))
d16annotator2_2	decomp	Create a meeting at 3 pm mountain time	createEvent(createAt(3.pm inZone TimeZone("MST")))
d18annotator2_0	decomp	Find 1/1 meetings this month	findEvents(queryAt(`this`[Interval[Date]] and isMonth) and isOneOnOne)
d18annotator2_1	decomp	Filter the events in the list s1 to include only those where the other attendee has a job title of "PM"	s1.filter( x => getPersonFromAttendee(x.attendees.otherPeople.head).jobTitle == Some("PM"))
d18annotator2_2	decomp	Update each event in the list s2 to be called "project sync"	s2.map(x => modifyEvent(x, called("project sync")))
d21annotator2_0	decomp	Get Kevin's reports	thePerson("Kevin").directReports
d21annotator2_1	decomp	Check if the size of the list s1 is 5 or less	s1.size <= 5
d249annotator1_0	decomp	Find the event with Hao this week	theEvent(with_("Hao") and queryAt(`this`[Interval[Date]] and isWeek))
d249annotator1_1	decomp	Change the event s1 to include Ben and remove Hao	modifyEvent(s1, with_("Ben") and not(with_("Hao")))
d2annotator1_0	decomp	Get User's direct reports	thePerson(me).directReports
d2annotator1_1	decomp	Filter the list of persons s1 to keep only those that don't have a one-on-one meeting with the user this week	s1.filter(x => findEvents(with_(x) and isOneOnOne and queryAt(`this`[Interval[Date]] and isWeek)).isEmpty)
d2annotator1_2	decomp	Create one-on-one meetings with filtered reports in s2	s2.map(x => createEvent(with_(x) and isOneOnOne))
d31annotator2_0	decomp	Find the event with Jane	findEvents(with_("Jane")).head
d31annotator2_1	decomp	Get the start time from event s1	s1.start.local.time
d31annotator2_2	decomp	Get the end time from event s1	s1.end.local.time
d31annotator2_3	decomp	Find the event with Smith	findEvents(with_("Smith")).head
d31annotator2_4	decomp	Get the start time from event s4	s4.start.local.time
d31annotator2_5	decomp	Get the end time from event s4	s4.end.local.time
d31annotator2_6	decomp	Set meeting time of event s1 with the start time as s5 and end time as s6	modifyEvent(s1, startsAt(s5) and endsAt(s6))
d31annotator2_7	decomp	Set meeting time of event s4 with the start time as s2 and end time as s3	modifyEvent(s4, startsAt(s2) and endsAt(s3))
d3annotator2_0	decomp	Find all events	findEvents0
d3annotator2_1	decomp	Filter the list of events s1 to only contain events with 1 other attendee	s1.filter(x => x.attendees.all.size == 2)
d3annotator2_2	decomp	Update the subject of each event in (list s1)[the list] to "1/1 with (corresponding person)"	s1.map(x => modifyEvent(x, called("1:1 with " + x.attendees.otherPeople.head.nameAndEmail.name.get)))
d47annotator1_0	decomp	Find meetings on Friday	findEvents(queryAt(Friday))
d47annotator1_1	decomp	Delete each meeting after the sixth meeting in the list s1	s1.drop(6).map(x => deleteEvent(x))
d67annotator1_0	decomp	Find events with user's reports that last for an hour this week	findEvents(with_(thePerson(me).directReports) and lastsFor(1.hours) and queryAt(thisWeek))
d67annotator1_1	decomp	Update each event in the list s1 to last only for 30 minutes	s1.map(x => modifyEvent(x, lastsFor(30.minutes)))
d74annotator1_0	decomp	Find all events on Monday	findEvents(queryAt(Monday))
d74annotator1_1	decomp	If there are more than 5 events in the list s1, decline the longest scheduled event	Option.when(s1.size > 5){respond(max(s1, (x => x.duration)), withResponse(ResponseStatusType.declined))}
